,HiveID,FoodLocs
160,42,"[(27, 10), (27, 10), (38, 15), (35, 6), (23, 21), (40, 14), (42, 6), (27, 10), (23, 16), (26, 24), (32, 19)]"
161,42,"[(27, 10), (27, 10), (38, 15), (35, 6), (23, 21), (40, 14), (42, 6), (27, 10), (23, 16), (26, 24), (32, 19)]"
162,42,"[(27, 10), (27, 10), (38, 15), (35, 6), (23, 21), (40, 14), (42, 6), (27, 10), (23, 16), (26, 24), (32, 19)]"
163,42,"[(27, 10), (27, 10), (38, 15), (35, 6), (23, 21), (40, 14), (42, 6), (27, 10), (23, 16), (26, 24), (32, 19)]"
164,42,"[(27, 10), (27, 10), (38, 15), (35, 6), (23, 21), (40, 14), (42, 6), (40, 3), (33, 20), (43, 5), (24, 12)]"
165,42,"[(27, 10), (27, 10), (38, 15), (35, 6), (23, 21), (40, 14), (42, 6), (40, 3), (33, 20), (43, 5), (24, 12)]"
166,42,"[(27, 10), (27, 10), (38, 15), (35, 6), (23, 21), (40, 14), (42, 6), (40, 3), (33, 20), (43, 5), (24, 12)]"
167,42,"[(27, 10), (27, 10), (38, 15), (35, 6), (23, 21), (40, 14), (42, 6), (40, 3), (33, 20), (43, 5), (24, 12)]"
168,42,"[(27, 10), (27, 10), (38, 15), (35, 6), (23, 21), (40, 14), (42, 6), (40, 3), (33, 20), (43, 5), (24, 12)]"
169,42,"[(27, 10), (27, 10), (38, 15), (35, 6), (23, 21), (40, 14), (42, 6), (40, 3), (33, 20), (43, 5), (24, 12)]"
170,42,"[(27, 10), (27, 10), (38, 15), (35, 6), (23, 21), (40, 14), (42, 6), (40, 3), (33, 20), (43, 5), (24, 12)]"
171,42,"[(27, 10), (27, 10), (38, 15), (35, 6), (23, 21), (40, 14), (42, 6), (40, 3), (33, 20), (43, 5), (24, 12)]"
172,42,"[(27, 10), (27, 10), (38, 15), (35, 6), (23, 21), (40, 14), (42, 6), (40, 3), (33, 20), (43, 5), (24, 12)]"
173,42,"[(27, 10), (27, 10), (38, 15), (35, 6), (23, 21), (40, 14), (42, 6), (40, 3), (33, 20), (43, 5), (24, 12)]"
174,42,"[(27, 10), (27, 10), (38, 15), (35, 6), (23, 21), (40, 14), (42, 6), (40, 3), (33, 20), (43, 5), (24, 12)]"
175,42,"[(27, 10), (27, 10), (38, 15), (35, 6), (23, 21), (40, 14), (42, 6), (40, 3), (33, 20), (43, 5), (24, 12)]"
176,42,"[(27, 10), (27, 10), (38, 15), (35, 6), (23, 21), (40, 14), (42, 6), (40, 3), (33, 20), (43, 5), (24, 12)]"
177,42,"[(27, 10), (27, 10), (38, 15), (35, 6), (23, 21), (40, 14), (42, 6), (40, 3), (33, 20), (43, 5), (24, 12)]"
178,42,"[(27, 10), (27, 10), (38, 15), (35, 6), (23, 21), (40, 14), (42, 6), (40, 3), (33, 20), (43, 5), (24, 12)]"
179,42,"[(27, 10), (27, 10), (38, 15), (35, 6), (23, 21), (40, 14), (42, 6), (40, 3), (33, 20), (43, 5), (24, 12)]"
180,42,"[(27, 10), (27, 10), (38, 15), (35, 6), (23, 21), (40, 14), (42, 6), (40, 3), (33, 20), (43, 5), (24, 12)]"
181,42,"[(27, 10), (27, 10), (38, 15), (35, 6), (23, 21), (40, 14), (42, 6), (40, 3), (33, 20), (43, 5), (24, 12)]"
182,42,"[(27, 10), (27, 10), (38, 15), (35, 6), (23, 21), (40, 14), (42, 6), (40, 3), (33, 20), (43, 5), (24, 12)]"
183,42,"[(27, 10), (27, 10), (38, 15), (35, 6), (23, 21), (40, 14), (42, 6), (40, 3), (33, 20), (43, 5), (24, 12)]"
184,42,"[(27, 10), (27, 10), (38, 15), (35, 6), (23, 21), (40, 14), (42, 6), (40, 3), (33, 20), (43, 5), (24, 12)]"
